name,source,gender,wikidata,type
"Rue Frédéric et Irène Joliot-Curie",wikidata,+,Q150989;Q7504,relation
"Allée d'Île-de-France",wikidata,-,Q13917,way
"Allée de Molène",wikidata,-,Q3319697,way
"Allée de la Plaine",wikidata,-,,way
"Allée des Sirènes",wikidata,-,Q182559,way
"Boulevard de l'Atlantique",wikidata,-,Q97,relation
"Chemin de l'Écluse",wikidata,-,Q105731,way
"Chemin des Eaux Minérales",wikidata,-,Q178921,relation+way
"Esplanade des Prix Nobel",wikidata,-,Q7191,relation+way
"Esplanade du Petit Prince",wikidata,-,Q25338,way
"Mail de L'Europe",wikidata,-,Q46,way
"Place d'Alsdorf",wikidata,-,Q6992,relation+way
"Place de l'Hermine",wikidata,-,Q384324,way
"Place de la Liberté",wikidata,-,Q2979,relation+way
"Place des Droits de l'Homme",wikidata,-,Q169759;Q7813,way
"Place du 74e Régiment d'Infanterie Territoriale",wikidata,-,Q2818265,relation+way
"Place du Roi Arthur",wikidata,-,Q45792,relation+way
"Place du Savonnier",wikidata,-,Q267027,way
"Rond-Point Aberystwyth",wikidata,-,Q213154,way
"Rond-Point Agadez",wikidata,-,Q320049,way
"Rond-Point d'Iroise",wikidata,-,Q208962,way
"Rond-Point de Gabès",wikidata,-,Q215661,way
"Rond-Point de la Corderie",wikidata,-,Q41085665,way
"Rond-Point de la Croix Mathias",wikidata,-,Q22925331,way
"Rond-Point de la Fontaine",wikidata,-,Q483453,way
"Rond-Point des Familles",wikidata,-,Q3550343,way
"Rond-Point des Gallois",wikidata,-,Q188353,way
"Rond-Point du 19 Mars 1962",wikidata,-,Q101251244,way
"Rond-Point du Camp de Rawa-Ruska",wikidata,-,Q16720963,way
"Rue J.H. Rosny",wikidata,-,Q2570161,relation
"Rue de Genève",wikidata,-,Q71,relation
"Rue de Gouédic",wikidata,-,Q95588011,relation+way
"Rue de Jersey",wikidata,-,Q15706498,relation
"Rue de Paris",wikidata,-,Q90,relation
"Rue de Trégueux",wikidata,-,Q476687,relation
"Rue de la Fontaine Saint-Brieuc",wikidata,-,Q22925332,relation
"Rue de la République",wikidata,-,Q17152708,relation+way
"Rue des Minquiers",wikidata,-,Q1435852,way
"Rue du 71ème Régiment d'Infanterie",wikidata,-,Q2818235,relation
"Rue du Légué",wikidata,-,Q3270301,relation
"Rue du Tertre Aubé",wikidata,-,Q59343241,way
"Square de la Palestine",wikidata,-,Q23792,way
"Avenue du Tertre Notre-Dame",wikidata,F,Q345,relation
"Place Anna Politkovskaïa",wikidata,F,Q131240,way
"Rue Germaine Tillion",wikidata,F,Q271991,way
"Rue Notre-Dame",wikidata,F,Q345,relation
"Sarah Bernhardt",wikidata,F,Q4605,way
"Allée Bourvil",wikidata,M,Q2750,way
"Allée Fernandel",wikidata,M,Q129092,way
"Allée Louis de Funès",wikidata,M,Q2737,way
"Allée Raimu",wikidata,M,Q1394721,way
"Avenue Corneille",wikidata,M,Q747,relation
"Boulevard Clemenceau",wikidata,M,Q171730,relation+way
"Boulevard Harel de la Noë",wikidata,M,Q3262142,relation
"Boulevard Jean Macé",wikidata,M,Q3173305,relation
"Boulevard René Pleven",wikidata,M,Q314545,way
"Boulevard Waldeck-Rousseau",wikidata,M,Q358452,relation
"Chemin Bronisław Geremek",wikidata,M,Q157282,way
"Cour Francis Renaud",wikidata,M,Q2385890,way
"Esplanade Alain Mimoun",wikidata,M,Q435068,way
"Esplanade Georges Pompidou",wikidata,M,Q2185,way
"Esplanade Jacques Chirac",wikidata,M,Q2105,relation+way
"Esplanade Patrick Dewaere",wikidata,M,Q551439,way
"Passage Georges Brassens",wikidata,M,Q449,way
"Passage Paul Langevin",wikidata,M,Q25320,way
